pm2.5,DEWP,TEMP,PRES,Iws
11,-25,-12,1030,12.96
16,-26,-14,1030,16.98
13,-25,-12,1031,21
15,-25,-11,1031,26.81
21,-24,-11,1030,35.75
24,-23,-11,1029,47.82
22,-22,-11,1029,63.02
22,-23,-11,1029,75.98
22,-22,-11,1029,88.05
19,-23,-11,1030,101.01
23,-24,-11,1030,109.06
25,-24,-11,1032,118
25,-23,-11,1032,126.05
31,-23,-12,1032,134.1
25,-24,-12,1033,142.15
22,-23,-12,1033,150.2
22,-23,-12,1034,160.03
15,-24,-12,1034,169.86
16,-24,-12,1033,178.8
11,-25,-12,1033,189.98
11,-24,-13,1033,198.03
12,-25,-12,1032,205.18
11,-25,-12,1033,215.01
12,-25,-12,1032,226.19
27,-25,-12,1032,235.13
28,-25,-12,1032,243.18
34,-23,-11,1033,252.12
33,-23,-10,1033,257.93
36,-22,-9,1033,263.74
26,-21,-8,1031,270.89
49,-21,-6,1030,278.94
52,-20,-5,1029,286.99
47,-22,-5,1028,294.14
47,-21,-5,1028,299.06
39,-19,-7,1028,1.79
59,-19,-8,1028,0.45
76,-20,-9,1028,1.34
96,-19,-10,1027,1.79
95,-19,-13,1027,0.89
68,-18,-12,1027,1.78
65,-18,-13,1027,0.89
75,-18,-14,1026,1.78
257,-20,-15,1025,2.67
174,-20,-15,1025,0.89
164,-20,-16,1025,1.78
161,-20,-16,1024,3.57
137,-21,-17,1024,6.7
92,-19,-14,1023,10.72
64,-21,-17,1023,13.85
87,-19,-15,1024,15.64
87,-19,-14,1024,18.77
84,-18,-10,1024,22.79
95,-17,-9,1023,24.58
79,-16,-6,1023,26.37
75,-17,-5,1022,28.16
79,-16,-5,1022,29.95
86,-15,-4,1022,33.08
72,-16,-4,1023,0.89
89,-15,-5,1025,1.79
94,-14,-3,1026,5.81
69,-16,-3,1027,11.62
49,-15,-4,1029,20.56
33,-16,-5,1031,24.58
27,-17,-6,1032,3.13
20,-18,-6,1033,8.05
36,-19,-7,1034,13.86
37,-17,-8,1035,5.81
30,-18,-10,1035,11.62
18,-19,-10,1036,14.75
21,-19,-9,1036,19.67
13,-19,-9,1036,7.15
23,-20,-9,1037,12.96
26,-19,-9,1037,18.77
27,-19,-8,1038,22.79
30,-19,-8,1039,28.6
28,-19,-7,1039,35.75
26,-18,-6,1039,41.56
26,-18,-5,1039,45.58
31,-17,-4,1038,1.79
35,-16,-3,1037,0.89
36,-17,-3,1037,1.78
37,-17,-2,1037,2.23
64,-15,-5,1036,0.89
83,-15,-6,1036,0.89
91,-15,-6,1037,1.78
90,-14,-6,1037,1.79
102,-14,-8,1036,3.58
94,-14,-10,1037,0.89
87,-15,-11,1036,1.78
141,-15,-11,1036,2.67
211,-16,-13,1036,0.89
242,-16,-12,1036,0.89
271,-16,-13,1035,0.89
249,-15,-12,1035,1.78
200,-14,-10,1034,1.79
147,-15,-10,1034,2.68
114,-15,-11,1034,4.47
102,-15,-11,1034,6.26
108,-14,-9,1034,8.05
135,-14,-9,1034,9.84
120,-13,-6,1034,0.89
148,-13,-5,1033,1.79
127,-12,-4,1031,0.89
128,-12,-3,1031,1.78
140,-12,-3,1030,2.67
148,-11,-3,1030,3.56
150,-11,-4,1031,0.89
154,-12,-7,1031,0.89
197,-12,-7,1032,1.78
235,-12,-8,1032,2.23
261,-12,-9,1032,3.12
269,-13,-11,1032,0.89
266,-14,-11,1032,2.68
263,-15,-12,1032,5.81
241,-14,-11,1032,0.45
205,-14,-11,1031,1.34
160,-14,-12,1031,1.79
150,-14,-12,1031,3.58
148,-14,-10,1030,6.71
208,-14,-11,1030,9.84
209,-15,-10,1030,11.63
183,-13,-10,1030,14.76
161,-13,-8,1030,17.89
182,-12,-6,1030,0.45
230,-11,-5,1030,1.34
170,-11,-4,1029,2.23
172,-11,-3,1028,3.12
154,-10,-1,1027,4.01
166,-11,-1,1027,4.46
177,-10,-1,1026,0.89
191,-10,-3,1026,1.78
212,-10,-5,1027,2.67
250,-10,-6,1027,0.89
268,-11,-7,1027,0.45
317,-10,-7,1027,0.9
291,-11,-9,1027,1.35
313,-12,-9,1027,0.89
282,-12,-10,1028,0.89
282,-13,-11,1028,3.13
303,-11,-9,1028,4.92
349,-13,-10,1028,6.71
407,-13,-11,1028,7.6
361,-13,-11,1027,1.79
234,-14,-11,1028,0.89
149,-14,-11,1028,4.02
147,-14,-11,1028,5.81
184,-11,-6,1028,9.83
161,-10,-5,1028,11.62
137,-9,-3,1028,13.41
146,-8,-1,1027,15.2
144,-9,0,1026,16.99
154,-9,1,1025,1.79
173,-9,1,1025,0.89
188,-8,1,1025,0.89
203,-7,-1,1025,2.68
233,-7,-2,1025,0.89
408,-7,-3,1025,0.89
435,-5,-2,1026,0.89
403,-5,-1,1026,1.79
360,-5,-1,1026,3.58
402,-6,-1,1026,0.89
358,-4,-1,1025,1.79
383,-5,-1,1024,4.92
332,-5,-1,1024,6.71
274,-5,-1,1023,8.5
256,-4,-1,1022,10.29
302,-4,-1,1021,11.18
330,-4,-1,1021,12.07
367,-4,-1,1021,13.86
297,-4,0,1021,0.89
331,-4,0,1021,1.79
323,-4,0,1021,0.89
339,-5,1,1021,1.79
301,-5,1,1020,0.89
310,-4,1,1019,1.34
305,-4,1,1018,0.89
313,-3,2,1018,0.45
336,-3,2,1018,1.34
357,-2,2,1018,0.89
485,-3,1,1018,0.89
426,-3,2,1020,1.79
403,-3,1,1020,4.92
374,-3,0,1021,6.71
333,-3,0,1021,8.5
343,-3,1,1020,11.63
364,-2,0,1021,14.76
389,-2,-1,1022,16.55
368,-4,-2,1022,19.68
267,-2,-1,1023,25.49
71,-3,1,1023,28.62
81,-3,0,1024,31.75
51,-5,2,1026,36.67
49,-9,1,1027,41.59
44,-10,0,1028,48.74
45,-10,0,1030,55.89
35,-11,1,1032,63.04
29,-13,0,1033,71.09
27,-13,0,1033,78.24
29,-13,-1,1033,8.05
16,-13,-1,1032,7.15
23,-15,-1,1032,5.81
28,-14,-1,1033,5.81
22,-15,-2,1033,12.96
11,-16,-3,1034,21.01
25,-17,-4,1035,28.16
16,-19,-3,1036,37.99
20,-18,-4,1037,46.93
20,-19,-4,1038,55.87
18,-19,-5,1038,65.7
18,-20,-6,1038,75.53
17,-20,-6,1038,85.36
17,-20,-7,1038,95.19
17,-22,-8,1038,103.24
15,-23,-8,1038,111.29
19,-24,-9,1038,118.44
16,-24,-9,1038,128.27
18,-25,-9,1038,138.1
18,-25,-8,1039,147.04
18,-25,-8,1039,155.98
26,-22,-7,1039,160.9
26,-22,-7,1038,3.13
25,-22,-5,1037,4.02
24,-21,-5,1035,3.13
15,-21,-4,1034,1.79
17,-20,-3,1034,1.79
15,-21,-2,1033,4.92
21,-20,-2,1033,10.73
40,-20,-2,1034,15.65
51,-19,-3,1034,21.46
45,-19,-3,1035,25.48
61,-17,-8,1035,0.89
72,-18,-9,1035,1.79
38,-18,-9,1035,3.58
35,-18,-6,1036,7.6
29,-20,-4,1037,17.43
26,-21,-5,1037,27.26
18,-21,-6,1037,35.31
15,-20,-7,1036,42.46
15,-20,-7,1035,48.27
22,-20,-7,1035,54.08
21,-20,-7,1036,59
19,-19,-7,1036,63.92
22,-20,-5,1036,67.94
25,-19,-4,1036,75.09
22,-19,-4,1036,84.03
26,-19,-3,1035,95.21
32,-18,-3,1034,105.04
30,-19,-2,1033,114.87
32,-18,-2,1032,124.7
30,-18,-2,1032,133.64
32,-18,-2,1032,139.45
37,-18,-3,1032,144.37
49,-17,-5,1033,149.29
47,-18,-4,1033,153.31
39,-17,-4,1032,159.12
35,-17,-4,1032,164.04
48,-17,-7,1032,168.06
49,-17,-4,1033,172.08
24,-17,-8,1033,0.89
23,-17,-5,1032,4.92
20,-18,-6,1032,8.05
19,-18,-5,1031,12.97
16,-18,-6,1031,16.1
22,-18,-7,1031,20.12
24,-18,-7,1031,24.14
24,-18,-6,1031,25.93
41,-18,-2,1031,30.85
23,-17,-1,1031,38.9
19,-17,0,1030,46.95
15,-19,1,1029,55
19,-20,2,1027,63.05
17,-19,2,1025,71.1
17,-19,3,1024,79.15
22,-19,3,1024,86.3
NA,-18,2,1024,91.22
NA,-18,1,1024,96.14
NA,-17,0,1024,100.16
NA,-18,0,1024,1.79
NA,-15,-3,1024,0.89
NA,-16,0,1023,1.79
NA,-16,0,1023,4.92
NA,-15,-2,1022,6.71
NA,-14,-7,1022,0.45
NA,-14,-8,1021,1.79
NA,-16,-11,1021,3.58
NA,-14,-9,1019,4.47
NA,-15,-10,1019,0.89
NA,-16,-12,1019,0.89
NA,-15,-12,1019,0.89
NA,-16,-13,1019,1.79
NA,-13,-7,1020,0.89
NA,-12,-4,1019,1.78
NA,-13,0,1019,2.67
NA,-16,4,1018,4.02
NA,-19,5,1017,13.85
NA,-18,5,1017,22.79
NA,-19,5,1017,32.62
NA,-20,5,1018,40.67
NA,-19,3,1020,49.61
NA,-18,1,1023,61.68
NA,-20,-1,1027,76.88
NA,-20,-2,1028,89.84
NA,-21,-3,1029,98.78
NA,-25,-4,1030,113.98
NA,-26,-5,1031,129.18
NA,-25,-5,1031,141.25
NA,-25,-6,1031,150.19
NA,-24,-6,1032,162.26
NA,-24,-6,1033,172.09
NA,-23,-6,1033,181.92
NA,-22,-7,1033,187.73
NA,-21,-7,1033,192.65
NA,-21,-7,1034,196.67
NA,-21,-6,1035,201.59
NA,-21,-4,1036,207.4
NA,-22,-3,1036,216.34
NA,-22,-2,1036,222.15
NA,-23,-1,1035,230.2
NA,-26,1,1033,238.25
NA,-25,2,1032,245.4
NA,-25,2,1031,252.55
NA,-24,2,1031,257.47
NA,-22,1,1031,4.02
NA,-19,-1,1031,7.15
NA,-19,-1,1031,10.28
NA,-17,-4,1031,12.07
NA,-18,-1,1031,15.2
NA,-18,-5,1030,0.89
NA,-18,-3,1030,3.13
NA,-16,-9,1030,0.89
NA,-16,-8,1029,1.78
NA,-16,-11,1029,2.23
NA,-16,-12,1029,3.12
NA,-16,-10,1028,3.13
NA,-17,-10,1028,4.92
NA,-17,-12,1027,6.71
NA,-17,-10,1027,8.5
NA,-18,-13,1028,1.79
NA,-16,-8,1028,4.02
NA,-16,-6,1027,5.81
NA,-15,-3,1027,0.89
88,-15,-1,1025,1.79
85,-18,0,1024,3.58
90,-19,1,1023,0.89
127,-18,2,1021,1.79
144,-17,1,1021,4.92
203,-14,-1,1021,5.81
199,-13,-3,1021,6.7
231,-13,-3,1021,0.89
274,-11,-5,1020,0.89
340,-13,-6,1020,1.79
298,-11,-5,1020,0.89
268,-11,-4,1019,1.79
299,-11,-4,1019,3.58
300,-12,-3,1018,5.37
240,-11,-4,1017,7.16
213,-11,-4,1016,10.29
171,-12,-3,1016,12.08
153,-11,-4,1016,15.21
153,-11,-5,1015,17
140,-11,-4,1015,18.79
147,-11,-3,1015,3.13
158,-10,-1,1015,6.26
153,-9,1,1015,9.39
154,-9,3,1015,1.79
143,-9,4,1014,4.92
90,-9,6,1013,8.05
55,-13,8,1012,16.1
52,-14,8,1013,24.15
41,-14,7,1014,32.2
29,-13,7,1015,39.35
37,-13,5,1016,47.4
49,-12,4,1018,52.32
56,-13,3,1019,56.34
38,-14,3,1020,62.15
37,-14,3,1021,67.96
28,-14,0,1022,71.98
20,-13,-1,1023,76.9
22,-15,-1,1023,7.15
27,-15,-1,1024,12.07
34,-15,-2,1025,16.09
27,-15,-2,1025,21.01
32,-15,-3,1025,25.03
28,-15,-3,1025,3.13
28,-15,-3,1026,8.05
18,-16,-3,1027,12.97
17,-17,-2,1028,20.12
16,-18,-2,1029,25.93
18,-19,-1,1028,35.76
16,-21,1,1027,44.7
12,-24,1,1026,53.64
13,-25,1,1026,62.58
23,-25,1,1026,72.41
21,-24,1,1026,82.24
13,-25,0,1026,91.18
14,-22,0,1027,99.23
23,-20,-1,1027,103.25
16,-21,-1,1027,105.04
25,-21,-4,1028,0.89
20,-21,-2,1027,4.02
25,-22,-2,1027,7.15
19,-22,-1,1027,12.07
24,-21,-4,1027,15.2
25,-21,-4,1026,0.89
20,-19,-8,1026,1.79
24,-20,-7,1025,0.89
17,-20,-8,1024,1.79
10,-18,-10,1024,0.89
11,-21,-2,1024,4.02
16,-21,-1,1025,9.83
20,-24,1,1025,17.88
13,-25,2,1025,26.82
12,-24,3,1024,33.97
12,-25,4,1023,42.02
12,-24,5,1022,50.07
12,-25,6,1020,57.22
31,-25,6,1020,65.27
36,-23,6,1020,72.42
42,-22,5,1020,78.23
52,-21,5,1020,84.04
26,-20,5,1020,89.85
24,-20,3,1020,93.87
25,-20,3,1020,97.89
43,-19,3,1021,101.02
47,-19,3,1020,105.94
61,-18,0,1020,109.96
66,-18,0,1020,114.88
65,-15,-1,1020,1.79
70,-15,-2,1020,0.89
36,-16,-1,1020,4.02
37,-16,-4,1019,8.94
22,-15,-5,1020,0.89
24,-16,-5,1020,3.13
29,-15,-6,1021,0.89
35,-15,0,1021,4.02
35,-18,3,1021,8.04
33,-21,5,1020,12.96
32,-22,6,1020,18.77
25,-22,7,1019,25.92
16,-22,7,1018,35.75
26,-23,7,1018,45.58
32,-23,7,1017,52.73
36,-22,6,1018,58.54
37,-21,5,1018,64.35
45,-21,5,1019,70.16
71,-19,4,1019,74.18
67,-19,5,1020,78.2
69,-19,2,1020,81.33
94,-18,2,1021,84.46
85,-18,1,1021,87.59
35,-18,1,1021,90.72
26,-16,-3,1022,93.85
24,-15,-2,1022,95.64
20,-15,0,1022,99.66
16,-17,1,1023,105.47
18,-15,0,1023,109.49
19,-18,0,1025,113.51
22,-17,0,1025,116.64
17,-17,2,1026,120.66
18,-19,3,1026,129.6
11,-19,4,1026,138.54
11,-20,5,1025,145.69
16,-17,5,1024,4.02
18,-18,6,1024,7.15
17,-18,6,1024,0.89
19,-18,5,1024,1.79
26,-17,4,1024,3.58
24,-17,1,1024,1.79
54,-15,-1,1025,2.68
71,-13,-1,1025,0.89
129,-8,-1,1026,5.81
145,-7,-2,1027,10.73
101,-7,-2,1027,13.86
65,-8,-3,1027,15.65
70,-9,-4,1027,0.89
67,-9,-4,1027,1.78
76,-9,-4,1027,0.89
76,-9,-4,1026,0.89
68,-9,-5,1027,0.89
73,-10,-4,1027,0.89
73,-10,-4,1027,0.89
64,-10,-6,1028,0.89
53,-9,-3,1028,1.79
72,-9,-2,1028,0.89
78,-9,-1,1028,1.79
72,-10,0,1027,6.71
56,-12,0,1026,10.73
54,-14,1,1026,14.75
40,-14,0,1025,16.54
49,-12,0,1026,19.67
63,-10,-1,1025,21.46
66,-9,-2,1026,23.25
64,-10,-2,1026,26.38
63,-10,-4,1027,30.4
65,-10,-5,1027,34.42
64,-10,-5,1027,39.34
64,-11,-7,1027,41.13
62,-10,-7,1028,42.92
56,-11,-8,1028,0.89
87,-11,-9,1028,1.34
72,-11,-10,1028,1.79
104,-12,-10,1028,0.89
97,-13,-11,1028,0.89
96,-11,-9,1028,0.89
86,-11,-8,1028,0.89
85,-10,-7,1029,1.79
92,-14,-6,1029,4.92
55,-18,-5,1029,10.73
36,-20,-3,1029,14.75
27,-20,-2,1028,16.54
25,-20,-1,1028,18.33
28,-20,0,1027,1.79
32,-22,0,1027,2.68
35,-22,1,1027,3.57
43,-19,-2,1027,1.79
70,-20,-4,1028,3.13
83,-21,-3,1029,4.02
66,-19,-6,1029,0.89
70,-16,-7,1029,0.89
80,-21,-5,1030,1.79
88,-19,-8,1030,4.92
69,-20,-8,1030,8.05
71,-21,-8,1030,0.89
62,-18,-10,1030,0.89
73,-17,-10,1030,0.89
107,-17,-12,1030,0.89
94,-17,-13,1030,1.79
121,-17,-13,1030,4.92
132,-19,-11,1030,0.89
161,-18,-11,1030,1.34
120,-18,-8,1030,1.79
72,-19,-4,1030,3.13
58,-20,-2,1030,4.92
34,-22,0,1029,12.07
14,-23,1,1027,19.22
17,-24,1,1026,28.16
15,-25,2,1026,37.1
23,-22,2,1026,46.93
34,-21,1,1026,54.08
96,-22,1,1026,59
87,-17,0,1027,63.02
87,-20,-4,1027,0.89
95,-20,-5,1028,1.79
105,-21,-6,1028,4.92
114,-21,-7,1028,0.45
103,-21,-7,1028,1.79
99,-21,-8,1028,4.92
102,-21,-9,1028,0.89
104,-19,-10,1028,1.34
78,-19,-10,1028,1.79
33,-19,-12,1028,0.89
29,-18,-12,1028,0.89
27,-20,-15,1028,4.02
27,-17,-10,1028,8.04
26,-19,-5,1028,12.06
33,-20,-3,1028,15.19
29,-20,-2,1028,4.02
31,-22,0,1027,3.13
28,-22,1,1025,7.15
28,-22,1,1025,1.79
61,-23,1,1024,4.92
64,-23,1,1024,6.71
80,-22,0,1024,8.5
91,-20,-4,1025,11.63
79,-22,-3,1026,14.76
48,-22,-3,1026,15.65
59,-20,-5,1027,1.79
82,-21,-3,1027,0.89
63,-19,-4,1027,1.79
48,-19,-4,1027,4.92
54,-19,-4,1027,8.05
42,-19,-4,1028,0.89
47,-19,-5,1028,1.79
87,-15,-5,1028,1.79
105,-13,-6,1028,0.89
90,-13,-7,1029,0.89
101,-12,-7,1030,1.78
126,-19,-6,1030,3.13
114,-18,-5,1031,4.92
103,-14,-4,1031,1.79
114,-13,-3,1031,1.79
100,-14,-2,1031,3.58
72,-13,-1,1030,6.71
68,-14,-1,1029,1.79
72,-13,-1,1029,1.79
71,-12,-1,1029,3.58
80,-12,-2,1030,5.37
70,-12,-4,1030,6.26
63,-13,-4,1031,8.05
67,-13,-5,1031,8.94
62,-12,-5,1032,9.83
69,-12,-6,1033,11.62
58,-11,-6,1033,13.41
51,-11,-7,1033,15.2
51,-11,-8,1033,16.99
54,-11,-8,1033,18.78
45,-11,-8,1033,20.57
47,-11,-7,1032,23.7
85,-11,-7,1032,25.49
78,-12,-7,1032,27.28
68,-12,-7,1032,29.07
64,-13,-7,1033,0.89
65,-12,-6,1033,1.79
80,-11,-5,1032,4.92
74,-11,-4,1032,8.05
93,-11,-3,1031,11.18
77,-11,-3,1030,15.2
67,-12,-2,1029,19.22
84,-12,-2,1029,22.35
77,-12,-2,1028,25.48
83,-12,-2,1027,29.5
82,-10,-3,1028,33.52
100,-9,-3,1029,35.31
189,-7,-4,1029,37.1
99,-6,-5,1028,38.89
71,-6,-5,1028,42.02
43,-6,-5,1027,45.15
64,-6,-5,1027,46.94
68,-7,-5,1026,48.73
69,-7,-5,1025,0.89
65,-7,-5,1025,1.78
71,-7,-6,1024,0.89
77,-7,-6,1024,0.89
81,-7,-6,1024,0.89
88,-7,-6,1023,1.78
90,-6,-5,1024,1.79
92,-6,-5,1024,1.79
88,-6,-4,1023,3.58
80,-6,-4,1023,0.89
100,-6,-3,1023,1.78
105,-7,-3,1022,2.67
118,-7,-3,1021,3.56
125,-6,-2,1020,1.79
141,-6,-2,1020,3.58
152,-6,-3,1020,5.37
164,-7,-4,1020,0.89
147,-7,-5,1021,0.89
162,-7,-5,1021,1.78
157,-6,-4,1022,2.67
156,-5,-3,1022,0.89
160,-7,-5,1020,1.79
178,-6,-4,1021,0.89
187,-6,-5,1020,1.34
181,-7,-6,1020,0.89
185,-8,-6,1020,0.89
197,-6,-5,1019,0.89
180,-6,-4,1019,1.79
172,-6,-4,1019,1.79
166,-6,-4,1020,4.92
136,-6,-4,1019,8.05
133,-5,-3,1020,12.07
140,-5,-2,1020,15.2
159,-5,-1,1019,0.89
169,-5,0,1019,2.68
170,-5,2,1017,1.79
184,-5,4,1017,0.89
163,-5,5,1017,1.79
140,-4,4,1017,4.92
144,-4,3,1017,6.71
166,-5,1,1019,0.89
196,-4,0,1020,0.89
227,-4,-1,1020,0.89
210,-5,-2,1020,1.78
233,-4,-2,1021,2.23
258,-4,-3,1021,3.12
247,-5,-3,1021,1.79
230,-5,-3,1022,0.89
273,-6,-4,1022,0.89
253,-5,-3,1022,0.89
254,-6,-5,1022,2.68
241,-6,-5,1022,5.81
229,-5,-4,1023,0.89
199,-5,-4,1023,1.34
193,-4,-3,1024,2.23
207,-9,1,1025,4.02
176,-15,2,1025,8.04
91,-17,3,1025,3.13
58,-18,4,1025,4.92
39,-16,4,1024,0.89
50,-14,5,1023,1.78
51,-13,4,1023,1.79
49,-12,4,1023,0.89
54,-11,3,1024,1.79
153,-10,2,1024,3.58
181,-7,2,1025,6.71
181,-6,0,1025,0.89
182,-8,-1,1026,3.13
156,-15,1,1026,8.05
27,-18,1,1027,12.07
16,-20,0,1028,16.09
22,-19,0,1028,21.01
